"","state","county","POP","DATE_DESC","DATE","GEONAME","HISP","place","year"
"1","22","51","53702","4/1/2010 Census population","1","Jefferson Parish, Louisiana","2","Jefferson","2010"
"2","22","51","56233","7/1/2011 population estimate","4","Jefferson Parish, Louisiana","2","Jefferson","2011"
"3","22","51","57324","7/1/2012 population estimate","5","Jefferson Parish, Louisiana","2","Jefferson","2012"
"4","22","51","58591","7/1/2013 population estimate","6","Jefferson Parish, Louisiana","2","Jefferson","2013"
"5","22","51","59850","7/1/2014 population estimate","7","Jefferson Parish, Louisiana","2","Jefferson","2014"
"6","22","51","61425","7/1/2015 population estimate","8","Jefferson Parish, Louisiana","2","Jefferson","2015"
"7","22","51","62992","7/1/2016 population estimate","9","Jefferson Parish, Louisiana","2","Jefferson","2016"
"8","22","51","63844","7/1/2017 population estimate","10","Jefferson Parish, Louisiana","2","Jefferson","2017"
"9","22","51","64499","7/1/2018 population estimate","11","Jefferson Parish, Louisiana","2","Jefferson","2018"
"10","22","71","18051","4/1/2010 Census population","1","Orleans Parish, Louisiana","2","Orleans","2010"
"11","22","71","18980","7/1/2011 population estimate","4","Orleans Parish, Louisiana","2","Orleans","2011"
"12","22","71","19572","7/1/2012 population estimate","5","Orleans Parish, Louisiana","2","Orleans","2012"
"13","22","71","20496","7/1/2013 population estimate","6","Orleans Parish, Louisiana","2","Orleans","2013"
"14","22","71","20677","7/1/2014 population estimate","7","Orleans Parish, Louisiana","2","Orleans","2014"
"15","22","71","21183","7/1/2015 population estimate","8","Orleans Parish, Louisiana","2","Orleans","2015"
"16","22","71","21518","7/1/2016 population estimate","9","Orleans Parish, Louisiana","2","Orleans","2016"
"17","22","71","21674","7/1/2017 population estimate","10","Orleans Parish, Louisiana","2","Orleans","2017"
"18","22","71","21963","7/1/2018 population estimate","11","Orleans Parish, Louisiana","2","Orleans","2018"
"19","22","75","1067","4/1/2010 Census population","1","Plaquemines Parish, Louisiana","2","Plaquemines","2010"
"20","22","75","1205","7/1/2011 population estimate","4","Plaquemines Parish, Louisiana","2","Plaquemines","2011"
"21","22","75","1315","7/1/2012 population estimate","5","Plaquemines Parish, Louisiana","2","Plaquemines","2012"
"22","22","75","1395","7/1/2013 population estimate","6","Plaquemines Parish, Louisiana","2","Plaquemines","2013"
"23","22","75","1466","7/1/2014 population estimate","7","Plaquemines Parish, Louisiana","2","Plaquemines","2014"
"24","22","75","1602","7/1/2015 population estimate","8","Plaquemines Parish, Louisiana","2","Plaquemines","2015"
"25","22","75","1624","7/1/2016 population estimate","9","Plaquemines Parish, Louisiana","2","Plaquemines","2016"
"26","22","75","1733","7/1/2017 population estimate","10","Plaquemines Parish, Louisiana","2","Plaquemines","2017"
"27","22","75","1831","7/1/2018 population estimate","11","Plaquemines Parish, Louisiana","2","Plaquemines","2018"
"28","22","87","3309","4/1/2010 Census population","1","St. Bernard Parish, Louisiana","2","St. Bernard","2010"
"29","22","87","3720","7/1/2011 population estimate","4","St. Bernard Parish, Louisiana","2","St. Bernard","2011"
"30","22","87","3936","7/1/2012 population estimate","5","St. Bernard Parish, Louisiana","2","St. Bernard","2012"
"31","22","87","4168","7/1/2013 population estimate","6","St. Bernard Parish, Louisiana","2","St. Bernard","2013"
"32","22","87","4348","7/1/2014 population estimate","7","St. Bernard Parish, Louisiana","2","St. Bernard","2014"
"33","22","87","4595","7/1/2015 population estimate","8","St. Bernard Parish, Louisiana","2","St. Bernard","2015"
"34","22","87","4582","7/1/2016 population estimate","9","St. Bernard Parish, Louisiana","2","St. Bernard","2016"
"35","22","87","4582","7/1/2017 population estimate","10","St. Bernard Parish, Louisiana","2","St. Bernard","2017"
"36","22","87","4770","7/1/2018 population estimate","11","St. Bernard Parish, Louisiana","2","St. Bernard","2018"
"37","22","89","2648","4/1/2010 Census population","1","St. Charles Parish, Louisiana","2","St. Charles","2010"
"38","22","89","2663","7/1/2011 population estimate","4","St. Charles Parish, Louisiana","2","St. Charles","2011"
"39","22","89","2779","7/1/2012 population estimate","5","St. Charles Parish, Louisiana","2","St. Charles","2012"
"40","22","89","2841","7/1/2013 population estimate","6","St. Charles Parish, Louisiana","2","St. Charles","2013"
"41","22","89","2959","7/1/2014 population estimate","7","St. Charles Parish, Louisiana","2","St. Charles","2014"
"42","22","89","3080","7/1/2015 population estimate","8","St. Charles Parish, Louisiana","2","St. Charles","2015"
"43","22","89","3195","7/1/2016 population estimate","9","St. Charles Parish, Louisiana","2","St. Charles","2016"
"44","22","89","3246","7/1/2017 population estimate","10","St. Charles Parish, Louisiana","2","St. Charles","2017"
"45","22","89","3332","7/1/2018 population estimate","11","St. Charles Parish, Louisiana","2","St. Charles","2018"
"46","22","93","256","4/1/2010 Census population","1","St. James Parish, Louisiana","2","St. James","2010"
"47","22","93","272","7/1/2011 population estimate","4","St. James Parish, Louisiana","2","St. James","2011"
"48","22","93","291","7/1/2012 population estimate","5","St. James Parish, Louisiana","2","St. James","2012"
"49","22","93","325","7/1/2013 population estimate","6","St. James Parish, Louisiana","2","St. James","2013"
"50","22","93","332","7/1/2014 population estimate","7","St. James Parish, Louisiana","2","St. James","2014"
"51","22","93","317","7/1/2015 population estimate","8","St. James Parish, Louisiana","2","St. James","2015"
"52","22","93","347","7/1/2016 population estimate","9","St. James Parish, Louisiana","2","St. James","2016"
"53","22","93","361","7/1/2017 population estimate","10","St. James Parish, Louisiana","2","St. James","2017"
"54","22","93","352","7/1/2018 population estimate","11","St. James Parish, Louisiana","2","St. James","2018"
"55","22","95","2175","4/1/2010 Census population","1","St. John the Baptist Parish, Louisiana","2","St. John the Baptist","2010"
"56","22","95","2255","7/1/2011 population estimate","4","St. John the Baptist Parish, Louisiana","2","St. John the Baptist","2011"
"57","22","95","2264","7/1/2012 population estimate","5","St. John the Baptist Parish, Louisiana","2","St. John the Baptist","2012"
"58","22","95","2280","7/1/2013 population estimate","6","St. John the Baptist Parish, Louisiana","2","St. John the Baptist","2013"
"59","22","95","2392","7/1/2014 population estimate","7","St. John the Baptist Parish, Louisiana","2","St. John the Baptist","2014"
"60","22","95","2476","7/1/2015 population estimate","8","St. John the Baptist Parish, Louisiana","2","St. John the Baptist","2015"
"61","22","95","2532","7/1/2016 population estimate","9","St. John the Baptist Parish, Louisiana","2","St. John the Baptist","2016"
"62","22","95","2637","7/1/2017 population estimate","10","St. John the Baptist Parish, Louisiana","2","St. John the Baptist","2017"
"63","22","95","2737","7/1/2018 population estimate","11","St. John the Baptist Parish, Louisiana","2","St. John the Baptist","2018"
"64","22","103","10970","4/1/2010 Census population","1","St. Tammany Parish, Louisiana","2","St. Tammany","2010"
"65","22","103","11594","7/1/2011 population estimate","4","St. Tammany Parish, Louisiana","2","St. Tammany","2011"
"66","22","103","11898","7/1/2012 population estimate","5","St. Tammany Parish, Louisiana","2","St. Tammany","2012"
"67","22","103","12308","7/1/2013 population estimate","6","St. Tammany Parish, Louisiana","2","St. Tammany","2013"
"68","22","103","12825","7/1/2014 population estimate","7","St. Tammany Parish, Louisiana","2","St. Tammany","2014"
"69","22","103","13318","7/1/2015 population estimate","8","St. Tammany Parish, Louisiana","2","St. Tammany","2015"
"70","22","103","13869","7/1/2016 population estimate","9","St. Tammany Parish, Louisiana","2","St. Tammany","2016"
"71","22","103","14469","7/1/2017 population estimate","10","St. Tammany Parish, Louisiana","2","St. Tammany","2017"
"72","22","103","14811","7/1/2018 population estimate","11","St. Tammany Parish, Louisiana","2","St. Tammany","2018"
"73","22","051","40560","7/1/2006 population estimate","8","Jefferson Parish, Louisiana","2","Jefferson","2006"
"74","22","051","44916","7/1/2007 population estimate","9","Jefferson Parish, Louisiana","2","Jefferson","2007"
"75","22","051","47951","7/1/2008 population estimate","10","Jefferson Parish, Louisiana","2","Jefferson","2008"
"76","22","051","51308","7/1/2009 population estimate","11","Jefferson Parish, Louisiana","2","Jefferson","2009"
"77","22","071","11146","7/1/2006 population estimate","8","Orleans Parish, Louisiana","2","Orleans","2006"
"78","22","071","13223","7/1/2007 population estimate","9","Orleans Parish, Louisiana","2","Orleans","2007"
"79","22","071","15237","7/1/2008 population estimate","10","Orleans Parish, Louisiana","2","Orleans","2008"
"80","22","071","16862","7/1/2009 population estimate","11","Orleans Parish, Louisiana","2","Orleans","2009"
"81","22","075","811","7/1/2006 population estimate","8","Plaquemines Parish, Louisiana","2","Plaquemines","2006"
"82","22","075","847","7/1/2007 population estimate","9","Plaquemines Parish, Louisiana","2","Plaquemines","2007"
"83","22","075","953","7/1/2008 population estimate","10","Plaquemines Parish, Louisiana","2","Plaquemines","2008"
"84","22","075","1057","7/1/2009 population estimate","11","Plaquemines Parish, Louisiana","2","Plaquemines","2009"
"85","22","087","1634","7/1/2006 population estimate","8","St. Bernard Parish, Louisiana","2","St. Bernard","2006"
"86","22","087","2254","7/1/2007 population estimate","9","St. Bernard Parish, Louisiana","2","St. Bernard","2007"
"87","22","087","2687","7/1/2008 population estimate","10","St. Bernard Parish, Louisiana","2","St. Bernard","2008"
"88","22","087","3112","7/1/2009 population estimate","11","St. Bernard Parish, Louisiana","2","St. Bernard","2009"
"89","22","089","2236","7/1/2006 population estimate","8","St. Charles Parish, Louisiana","2","St. Charles","2006"
"90","22","089","2382","7/1/2007 population estimate","9","St. Charles Parish, Louisiana","2","St. Charles","2007"
"91","22","089","2445","7/1/2008 population estimate","10","St. Charles Parish, Louisiana","2","St. Charles","2008"
"92","22","089","2535","7/1/2009 population estimate","11","St. Charles Parish, Louisiana","2","St. Charles","2009"
"93","22","093","210","7/1/2006 population estimate","8","St. James Parish, Louisiana","2","St. James","2006"
"94","22","093","224","7/1/2007 population estimate","9","St. James Parish, Louisiana","2","St. James","2007"
"95","22","093","222","7/1/2008 population estimate","10","St. James Parish, Louisiana","2","St. James","2008"
"96","22","093","261","7/1/2009 population estimate","11","St. James Parish, Louisiana","2","St. James","2009"
"97","22","095","2046","7/1/2006 population estimate","8","St. John the Baptist Parish, Louisiana","2","St. John the Baptist","2006"
"98","22","095","2092","7/1/2007 population estimate","9","St. John the Baptist Parish, Louisiana","2","St. John the Baptist","2007"
"99","22","095","2184","7/1/2008 population estimate","10","St. John the Baptist Parish, Louisiana","2","St. John the Baptist","2008"
"100","22","095","2162","7/1/2009 population estimate","11","St. John the Baptist Parish, Louisiana","2","St. John the Baptist","2009"
"101","22","103","8683","7/1/2006 population estimate","8","St. Tammany Parish, Louisiana","2","St. Tammany","2006"
"102","22","103","9332","7/1/2007 population estimate","9","St. Tammany Parish, Louisiana","2","St. Tammany","2007"
"103","22","103","10009","7/1/2008 population estimate","10","St. Tammany Parish, Louisiana","2","St. Tammany","2008"
"104","22","103","10395","7/1/2009 population estimate","11","St. Tammany Parish, Louisiana","2","St. Tammany","2009"
"105",NA,NA,"14826",NA,NA,NA,NA,"Orleans","2000"
"106",NA,NA,"32418",NA,NA,NA,NA,"Jefferson","2000"
"107",NA,NA,"4737",NA,NA,NA,NA,"St. Tammany","2000"
"108",NA,NA,"433",NA,NA,NA,NA,"Plaquemines","2000"
"109",NA,NA,"3425",NA,NA,NA,NA,"St. Bernard","2000"
"110",NA,NA,"1346",NA,NA,NA,NA,"St. Charles","2000"
"111",NA,NA,"130",NA,NA,NA,NA,"St. James","2000"
"112",NA,NA,"1230",NA,NA,NA,NA,"St. John the Baptist","2000"
